Year,AverageTemperature,MinimumTemperature,MaximumTemperature,Country
1750,13.098,3.6,23.893,Albania
1750,11.759,3.313,21.52,Andorra
1750,6.984,-3.582,17.247,Austria
1750,6.691,-6.297,19.282,Belarus
1750,10.341,1.171,19.1,Belgium
1750,11.03,0.529,21.887,Bosnia And Herzegovina
1750,11.02,0.34,22.664,Bulgaria
1750,12.013,1.3,23,Croatia
1750,8.459,-1.812,18.767,Czech Republic
1750,8.797,0.02,17.621,Denmark
1750,5.802,-7.474,18.516,Estonia
1750,7.165,2.835,11.709,Faroe Islands
1750,2.226,-11.859,16.621,Finland
1750,11.086,2.332,20.229,France
1750,9.039,-0.447,18.512,Germany
1750,15.188,6.239,26.096,Greece
1750,10.487,-1.145,21.881,Hungary
1750,1.961,-4.613,10.147,Iceland
1750,9.989,4.612,16.464,Ireland
1750,9.883,5.715,15.553,Isle Of Man
1750,13.271,4.339,23.415,Italy
1750,6.323,-6.98,18.673,Latvia
1750,5.4,-4.742,15.241,Liechtenstein
1750,6.856,-5.613,18.562,Lithuania
1750,10.012,0.488,19.229,Luxembourg
1750,10.948,-0.2,22.646,Macedonia
1750,9.634,-2.933,22.579,Moldova
1750,9.69,-0.183,20.268,Monaco
1750,10.801,0.171,22.16,Montenegro
1750,9.995,1.509,18.322,Netherlands
1750,1.041,-9.789,12.14,Norway
1750,8.345,-3.157,19.258,Poland
1750,9.419,-2.3,21.352,Romania
1750,14.301,6.059,23.728,San Marino
1750,10.632,-0.783,22.067,Serbia
1750,8.285,-2.584,19.086,Slovakia
1750,10.368,-0.358,21.116,Slovenia
1750,14.121,5.721,24.338,Spain
1750,3.517,-9.544,15.764,Sweden
1750,7.738,-2.303,17.679,Switzerland
1750,8.391,-4.372,21.606,Ukraine
1750,9.355,3.193,16.387,United Kingdom
1751,13.573,2.284,23.081,Albania
1751,12.197,3.12,20.264,Andorra
1751,7.185,-4.817,16.386,Austria
1751,6.69,-9.459,18.603,Belarus
1751,10.147,0.076,17.529,Belgium
1751,11.419,-0.62,21.076,Bosnia And Herzegovina
1751,11.473,-1.471,21.918,Bulgaria
1751,12.387,0.214,22.173,Croatia
1751,8.548,-4.033,18.023,Czech Republic
1751,8.168,-3.308,16.614,Denmark
1751,5.463,-11.002,17.72,Estonia
1751,6.644,0.924,10.827,Faroe Islands
1751,2.083,-14.845,15.684,Finland
1751,11.231,1.803,18.839,France
1751,8.934,-2.51,17.459,Germany
1751,15.686,4.62,25.283,Greece
1751,10.821,-2.715,21.155,Hungary
1751,2.022,-5.801,8.918,Iceland
1751,9.798,3.085,14.939,Ireland
1751,9.325,2.597,14.477,Isle Of Man
1751,13.616,3.244,22.424,Italy
1751,6.074,-9.921,17.915,Latvia
1751,5.544,-5.676,14.201,Liechtenstein
1751,6.6,-8.893,17.844,Lithuania
1751,9.896,-0.553,17.76,Luxembourg
1751,11.53,-1.059,21.859,Macedonia
1751,10.015,-5.297,21.894,Moldova
1751,10.122,-0.295,19.086,Monaco
1751,11.313,-0.888,21.362,Montenegro
1751,9.579,-0.456,16.829,Netherlands
1751,0.776,-11.904,10.981,Norway
1751,8.284,-5.865,18.594,Poland
1751,9.794,-4.249,20.65,Romania
1751,14.438,4.094,23.039,San Marino
1751,11.093,-1.956,21.307,Serbia
1751,8.435,-4.799,18.398,Slovakia
1751,10.698,-1.293,20.255,Slovenia
1751,14.71,5.546,23.094,Spain
1751,3.103,-11.744,14.675,Sweden
1751,7.924,-2.94,16.505,Switzerland
1751,8.71,-7.272,20.916,Ukraine
1751,9.026,1.287,14.794,United Kingdom
1752,8.24,1.402,12.64,Albania
1752,7.419,2.71,10.79,Andorra
1752,1.822,-4.836,6.308,Austria
1752,0.539,-8.459,6.35,Belarus
1752,6.061,1.864,9.675,Belgium
1752,5.925,-1.342,10.423,Bosnia And Herzegovina
1752,5.629,-2.384,10.581,Bulgaria
1752,6.76,-0.373,11.239,Croatia
1752,3.234,-3.433,7.734,Czech Republic
1752,4.384,-0.33,9.166,Denmark
1752,-0.156,-8.655,5.433,Estonia
1752,5.275,2.805,7.063,Faroe Islands
1752,-4.397,-13.422,1.599,Finland
1752,6.854,2.314,10.264,France
1752,4.24,-1.1,8.423,Germany
1752,10.415,3.734,14.849,Greece
