Year,AverageTemperature,MinimumTemperature,MaximumTemperature,State,Country
1750,,,,Adygey,Russia
1750,17.653,6.95,28.464,Alabama,United States
1750,-1.366,-15.102,13.995,Arkhangel'Sk,Russia
1750,6.974,-7.352,21.723,Belgorod,Russia
1750,6.284,-7.521,19.975,Bryansk,Russia
1750,4.157,-11.969,20.83,Chuvash,Russia
1750,4.729,-7.713,17.893,City Of St. Petersburg,Russia
1750,9.466,-4.043,23.108,Connecticut,United States
1750,12.402,-0.466,25.655,Delaware,United States
1750,12.506,-1.08,26.156,District Of Columbia,United States
1750,21.821,14.656,29.147,Florida,United States
1750,18.078,7.958,28.45,Georgia (State),United States
1750,11.503,-3.426,26.02,Illinois,United States
1750,11.513,-2.858,25.685,Indiana,United States
1750,9.34,-7.427,25.146,Iowa,United States
1750,4.128,-11.011,19.627,Ivanovo,Russia
1750,7.495,-4.457,18.653,Kaliningrad,Russia
1750,5.237,-9.04,19.456,Kaluga,Russia
1750,1.878,-12.351,16.911,Karelia,Russia
1750,13.581,0.717,26.532,Kentucky,United States
1750,2.264,-14.15,19.12,Kirov,Russia
1750,,,,Komi,Russia
1750,,,,Komi Permyak,Russia
1750,2.98,-12.712,18.932,Kostroma,Russia
1750,,,,Krasnodar,Russia
1750,6.341,-7.764,20.648,Kursk,Russia
1750,4.055,-9.203,17.646,Leningrad,Russia
1750,5.712,-8.924,20.849,Lipetsk,Russia
1750,4.851,-11.232,20.114,Maine,United States
1750,3.461,-12.655,20.104,Mariy El,Russia
1750,12.688,-0.263,25.896,Maryland,United States
1750,8.123,-6.477,22.351,Massachusetts,United States
1750,7.082,-7.323,21.773,Michigan,United States
1750,5.181,-13.302,22.129,Minnesota,United States
1750,12.969,-1.323,27.099,Missouri,United States
1750,4.561,-10.866,20.522,Mordovia,Russia
1750,4.844,-9.605,19.3,Moscow City,Russia
1750,4.819,-9.794,19.523,Moskva,Russia
1750,-0.448,-12.914,13.435,Murmansk,Russia
1750,,,,Nenets,Russia
1750,4.188,-12.059,19.851,New Brunswick,Canada
1750,6.152,-9.659,21.217,New Hampshire,United States
1750,11.154,-2.53,24.881,New Jersey,United States
1750,7.72,-7.365,22.412,New York,United States
1750,-1.405,-17.216,14.447,Newfoundland And Labrador,Canada
1750,4.078,-11.574,20.135,Nizhegorod,Russia
1750,15.339,4.248,26.924,North Carolina,United States
1750,5.967,-6.59,19.346,Nova Scotia,Canada
1750,4.497,-9.803,18.387,Novgorod,Russia
1750,10.927,-3.015,24.819,Ohio,United States
1750,0.554,-18.837,18.521,Ontario,Canada
1750,5.743,-8.491,20.173,Orel,Russia
1750,9.675,-4.296,23.542,Pennsylvania,United States
1750,4.872,-10.686,21.142,Penza,Russia
1750,,,,Perm',Russia
1750,5.31,-8.802,19.91,Prince Edward Island,Canada
1750,5.382,-8.237,18.426,Pskov,Russia
1750,9.416,-4.07,23.022,Rhode Island,United States
1750,8.977,-5.035,24.407,Rostov,Russia
1750,5,-10.068,20.477,Ryazan',Russia
1750,,,,Samara,Russia
1750,,,,Saratov,Russia
1750,5.271,-8.634,18.899,Smolensk,Russia
1750,17.586,7.223,28.496,South Carolina,United States
1750,5.532,-9.515,21.217,Tambov,Russia
1750,,,,Tatarstan,Russia
1750,14.68,2.835,26.868,Tennessee,United States
1750,5.166,-9.313,19.901,Tula,Russia
1750,4.467,-9.933,18.664,Tver',Russia
1750,,,,Udmurt,Russia
1750,4.298,-11.902,21.212,Ul'Yanovsk,Russia
1750,5.94,-10.006,21.077,Vermont,United States
1750,13.387,1.139,25.881,Virginia,United States
1750,4.629,-10.546,20.058,Vladimir,Russia
1750,7.495,-7.995,24.166,Volgograd,Russia
1750,2.606,-12.71,18.123,Vologda,Russia
1750,6.76,-7.95,22.191,Voronezh,Russia
1750,11.544,-1.185,24.344,West Virginia,United States
1750,6.577,-10.034,22.323,Wisconsin,United States
1750,3.743,-11.406,18.993,Yaroslavl',Russia
1751,,,,Adygey,Russia
1751,18.364,7.167,27.315,Alabama,United States
1751,-1,-17.61,13.096,Arkhangel'Sk,Russia
1751,7.364,-10.678,20.999,Belgorod,Russia
1751,6.479,-10.656,19.281,Bryansk,Russia
1751,4.683,-14.881,20.007,Chuvash,Russia
1751,4.408,-12.261,17.087,City Of St. Petersburg,Russia
1751,10.09,-3.178,21.515,Connecticut,United States
1751,13.09,0.129,24.167,Delaware,United States
1751,13.278,-0.595,24.711,District Of Columbia,United States
1751,22.15,14.673,28.021,Florida,United States
1751,18.737,8.101,27.259,Georgia (State),United States
1751,12.291,-3.595,24.829,Illinois,United States
1751,12.279,-2.887,24.44,Indiana,United States
1751,10.157,-7.755,24.018,Iowa,United States
1751,4.489,-13.789,18.844,Ivanovo,Russia
1751,7.207,-7.823,17.942,Kaliningrad,Russia
1751,5.439,-12.22,18.739,Kaluga,Russia
1751,1.919,-15.462,16.035,Karelia,Russia
1751,14.366,0.677,25.292,Kentucky,United States
1751,2.903,-15.916,18.262,Kirov,Russia
1751,,,,Komi,Russia
1751,,,,Komi Permyak,Russia
1751,3.432,-14.885,18.123,Kostroma,Russia
1751,,,,Krasnodar,Russia
1751,6.633,-11.122,19.937,Kursk,Russia
1751,3.894,-13.062,16.847,Leningrad,Russia
1751,6.047,-12.604,20.111,Lipetsk,Russia
1751,5.476,-10.586,18.606,Maine,United States
1751,4.009,-15.14,19.274,Mariy El,Russia
1751,13.411,0.209,24.456,Maryland,United States
1751,8.798,-5.556,20.737,Massachusetts,United States
1751,7.673,-7.27,20.497,Michigan,United States
1751,5.961,-13.654,21.009,Minnesota,United States
1751,13.799,-1.658,25.973,Missouri,United States
1751,4.991,-14.233,19.733,Mordovia,Russia
1751,5.066,-12.599,18.564,Moscow City,Russia
1751,5.061,-12.844,18.78,Moskva,Russia
1751,-0.312,-15.642,12.49,Murmansk,Russia
1751,,,,Nenets,Russia
1751,4.818,-11.609,18.42,New Brunswick,Canada
1751,6.838,-8.81,19.631,New Hampshire,United States
1751,11.862,-1.868,23.368,New Jersey,United States
1751,8.368,-6.699,20.897,New York,United States
1751,-0.869,-17.353,13.244,Newfoundland And Labrador,Canada
1751,4.548,-14.264,19.334,Nizhegorod,Russia
1751,16.049,4.386,25.614,North Carolina,United States
1751,6.42,-6.29,17.945,Nova Scotia,Canada
1751,4.495,-12.754,17.626,Novgorod,Russia
1751,11.658,-2.841,23.496,Ohio,United States
1751,1.216,-18.926,17.3,Ontario,Canada
1751,6.001,-11.978,19.458,Orel,Russia
1751,10.369,-3.8,22.093,Pennsylvania,United States
1751,5.325,-14.304,20.351,Penza,Russia
1751,,,,Perm',Russia
1751,5.821,-8.447,18.516,Prince Edward Island,Canada
1751,5.24,-11.55,17.685,Pskov,Russia
1751,10.041,-3.191,21.424,Rhode Island,United States
1751,9.571,-8.28,23.631,Rostov,Russia
1751,5.337,-13.55,19.72,Ryazan',Russia
1751,,,,Samara,Russia
1751,,,,Saratov,Russia
1751,5.358,-11.787,18.191,Smolensk,Russia
1751,18.267,7.21,27.245,South Carolina,United States
1751,5.924,-13.231,20.456,Tambov,Russia
1751,,,,Tatarstan,Russia
1751,15.458,2.696,25.666,Tennessee,United States
1751,5.426,-12.763,19.172,Tula,Russia
1751,4.573,-12.878,17.919,Tver',Russia
1751,,,,Udmurt,Russia
1751,4.829,-15.267,20.384,Ul'Yanovsk,Russia
1751,6.605,-9.204,19.509,Vermont,United States
1751,14.137,1.422,24.515,Virginia,United States
1751,4.981,-13.509,19.29,Vladimir,Russia
1751,8.083,-11.532,23.37,Volgograd,Russia
1751,2.928,-15.005,17.31,Vologda,Russia
1751,7.195,-11.563,21.441,Voronezh,Russia
1751,12.283,-0.936,22.991,West Virginia,United States
1751,7.286,-10.207,21.134,Wisconsin,United States
1751,4.019,-14.102,18.215,Yaroslavl',Russia
1752,4.821,-3.734,9.428,Adygey,Russia
1752,12.027,4.342,16.519,Alabama,United States
1752,-8.248,-17.919,-1.861,Arkhangel'Sk,Russia
1752,-0.287,-10.779,7.147,Belgorod,Russia
1752,-0.402,-10.286,6.347,Bryansk,Russia
1752,-4.041,-15.576,4.176,Chuvash,Russia
1752,-0.912,-9.831,4.899,City Of St. Petersburg,Russia
1752,2.671,-7.348,9.499,Connecticut,United States
1752,5.694,-3.723,11.903,Delaware,United States
1752,5.452,-4.318,11.431,District Of Columbia,United States
1752,18.248,12.207,21.42,Florida,United States
1752,12.663,5.15,16.802,Georgia (State),United States
1752,4.21,-6.547,10.873,Illinois,United States
1752,4.322,-6.004,10.737,Indiana,United States
1752,1.432,-10.52,8.962,Iowa,United States
1752,-3.24,-14.03,3.933,Ivanovo,Russia
1752,1.982,-6.075,7.398,Kaliningrad,Russia
1752,-1.665,-11.813,5.265,Kaluga,Russia
1752,-4.826,-14.661,1.228,Karelia,Russia
1752,6.906,-2.427,12.288,Kentucky,United States
1752,-5.841,-17.429,2.173,Kirov,Russia
1752,-9.935,-21.183,-3.165,Komi,Russia
1752,-6.98,-18.629,1.199,Komi Permyak,Russia
1752,-4.581,-15.692,2.864,Kostroma,Russia
1752,4.815,-4.095,9.692,Krasnodar,Russia
1752,-0.71,-10.91,6.389,Kursk,Russia
1752,-1.955,-11.445,3.742,Leningrad,Russia
1752,-1.744,-12.362,5.754,Lipetsk,Russia
1752,-2.641,-14.498,5.263,Maine,United States
1752,-4.609,-16.098,3.454,Mariy El,Russia
1752,5.915,-3.498,11.841,Maryland,United States
1752,0.915,-9.792,7.855,Massachusetts,United States
1752,-0.04,-10.483,7.113,Michigan,United States
1752,-3.242,-16.39,5.29,Minnesota,United States
1752,5.935,-4.414,12.006,Missouri,United States
1752,-3.29,-14.46,4.683,Mordovia,Russia
1752,-2.082,-12.312,4.75,Moscow City,Russia
1752,-2.226,-12.594,4.758,Moskva,Russia
1752,-6.621,-14.969,-1.084,Murmansk,Russia
1752,-11.325,-20.383,-3.94,Nenets,Russia
1752,-3.289,-15.29,4.767,New Brunswick,Canada
1752,-1.504,-12.961,5.923,New Hampshire,United States
1752,4.15,-5.798,10.561,New Jersey,United States
1752,0.283,-10.635,7.465,New York,United States
1752,-8.486,-20.343,0.029,Newfoundland And Labrador,Canada
1752,-3.692,-14.869,4.13,Nizhegorod,Russia
1752,9.317,1.073,13.997,North Carolina,United States
1752,-0.029,-9.807,6.921,Nova Scotia,Canada
1752,-1.982,-11.807,4.03,Novgorod,Russia
1752,3.829,-6.197,10.12,Ohio,United States
1752,-8.132,-21.972,1.809,Ontario,Canada
1752,-1.353,-11.604,5.727,Orel,Russia
1752,2.566,-7.535,8.921,Pennsylvania,United States
1752,-3.17,-14.507,4.987,Penza,Russia
1752,-7.635,-19.575,0.956,Perm',Russia
1752,-1.304,-12.015,6.196,Prince Edward Island,Canada
1752,-0.779,-10.054,4.783,Pskov,Russia
1752,2.637,-7.378,9.457,Rhode Island,United States
1752,1.57,-8.863,8.648,Rostov,Russia
1752,-2.58,-13.425,4.994,Ryazan',Russia
1752,-4.292,-16.531,4.56,Samara,Russia
1752,-2.8,-14.667,5.837,Saratov,Russia
1752,-1.312,-11.046,5.117,Smolensk,Russia
1752,11.904,4.075,16.213,South Carolina,United States
1752,-2.222,-13.154,5.617,Tambov,Russia
1752,-4.824,-16.604,3.519,Tatarstan,Russia
1752,8.385,-0.291,13.443,Tennessee,United States
1752,-2.03,-12.379,5.143,Tula,Russia
1752,-2.241,-12.289,4.166,Tver',Russia
1752,-5.887,-17.596,2.393,Udmurt,Russia
1752,-4.086,-15.884,4.438,Ul'Yanovsk,Russia
1752,-1.753,-13.3,5.797,Vermont,United States
1752,6.883,-2.062,12.071,Virginia,United States
1752,-2.81,-13.618,4.654,Vladimir,Russia
1752,-0.632,-11.949,7.485,Volgograd,Russia
1752,-4.606,-15.41,2.126,Vologda,Russia
1752,-0.811,-11.73,6.968,Voronezh,Russia
1752,4.871,-4.38,10.318,West Virginia,United States
1752,-1.207,-13.154,6.58,Wisconsin,United States
1752,-3.479,-14.125,3.48,Yaroslavl',Russia
1753,9.843,-2.623,21.878,Adygey,Russia
1753,17.043,5.101,27.253,Alabama,United States
1753,-2.166,-17.755,12.638,Arkhangel'Sk,Russia
1753,6.067,-9.905,20.554,Belgorod,Russia
1753,5.319,-10.247,18.731,Bryansk,Russia
1753,3.232,-14.453,19.537,Chuvash,Russia
1753,3.763,-11.083,16.177,City Of St. Petersburg,Russia
1753,9.019,-2.595,21.359,Connecticut,United States
1753,11.89,0.37,24.033,Delaware,United States
1753,11.914,-0.632,24.586,District Of Columbia,United States
1753,21.442,12.801,27.963,Florida,United States
1753,17.504,6.119,27.188,Georgia (State),United States
1753,10.845,-3.892,24.757,Illinois,United States
1753,10.87,-3.223,24.357,Indiana,United States
1753,8.631,-8.102,23.959,Iowa,United States
1753,3.181,-13.817,18.218,Ivanovo,Russia
